Country;End use;Product;2000;2005;2010;2015;2016;2017;2018;2019;2020;2021
Australia;Total Residential;Oil and oil products (PJ)                            ;14,63;12,02;15,09;15,28;16,68;14,61;14,68;15,20;14,74;14,97
Australia;Total Residential;Gas (PJ)                                             ;105,09;113,48;126,65;140,42;135,40;139,40;135,41;135,92;143,08;141,48
Australia;Total Residential;Coal and coal products (PJ)                          ;0;0;0;0;0;0;0;0;0;0
Australia;Total Residential;Biofuels and waste (PJ)                              ;80,60;67,80;55,60;49,80;49,20;48,80;48,20;47,60;47,10;46,67
Australia;Total Residential;Heat (PJ)                                            ;0;0;0;0;0;0;0;0;0;0
Australia;Total Residential;Electricity (PJ)                                     ;174,00;198,50;218,40;207,80;213,30;212,10;218,00;226,80;217,80;236,09
Australia;Total Residential;Other sources (PJ)                                   ;4,24;4,33;12,16;17,10;17,10;18,18;19,10;20,01;21,07;22,36
Australia;Total Residential;Total final energy use (PJ)                          ;378,56;396,13;427,90;430,40;431,68;433,10;435,40;445,53;443,79;461,56
Australia;Residential space heating;Total final energy use (PJ)                  ;165,42;161,05;161,28;161,07;158,90;159,02;157,77;158,73;160,48;162,48
Australia;Residential space cooling;Total final energy use (PJ)                  ;13,00;15,88;21,19;24,41;24,08;25,49;25,29;25,45;25,72;26,05
Australia;Residential water heating;Total final energy use (PJ)                  ;85,83;87,83;99,27;103,52;104,04;104,90;105,90;109,22;110,72;115,29
Australia;Residential cooking;Total final energy use (PJ)                        ;16,35;17,19;20,08;23,10;24,01;24,24;25,16;26,56;26,48;28,44
Australia;Residential lighting;Total final energy use (PJ)                       ;27,41;34,75;30,14;24,26;24,31;23,31;22,05;21,06;18,03;17,43
Australia;Residential appliances;Total final energy use (PJ)                     ;70,56;79,42;95,93;94,05;96,35;96,14;99,22;104,51;102,35;111,88
Austria;Total Residential;Oil and oil products (PJ)                              ;77,73;63,85;55,88;43,19;42,85;43,37;38,58;38,84;39,80;43,26
Austria;Total Residential;Gas (PJ)                                               ;46,89;65,71;65,47;56,84;62,82;61,50;56,28;59,49;60,05;68,18
Austria;Total Residential;Coal and coal products (PJ)                            ;9,10;3,90;2,57;0,89;0,86;0,95;0,81;0,83;0,57;0,64
Austria;Total Residential;Biofuels and waste (PJ)                                ;60,18;58,86;75,38;72,65;74,71;75,10;69,22;70,69;70,99;80,09
Austria;Total Residential;Heat (PJ)                                              ;17,08;20,04;24,51;31,48;33,02;34,55;32,50;32,09;34,98;38,97
Austria;Total Residential;Electricity (PJ)                                       ;55,01;60,24;66,41;62,96;65,15;65,28;64,75;66,71;69,32;73,02
Austria;Total Residential;Other sources (PJ)                                     ;1,50;2,30;4,59;5,34;5,49;5,09;4,64;4,73;4,72;5,13
Austria;Total Residential;Total final energy use (PJ)                            ;267,48;274,92;294,81;273,35;284,90;285,83;266,79;273,38;280,42;309,30
