Scenario;Country;Indicator;Energy_Type;2023;2030;2050;;;;
STEPS;United States;Capital costs (USD/kW);Nuclear;5000;4800;4500;;;;
STEPS;United States;Capital costs (USD/kW);Coal;2100;2100;2100;;;;
STEPS;United States;Capital costs (USD/kW);Gas CCGT;1000;1000;1000;;;;
STEPS;United States;Capital costs (USD/kW);Solar PV;1110;690;480;;;;
STEPS;United States;Capital costs (USD/kW);Wind onshore;1500;1430;1370;;;;
STEPS;United States;Capital costs (USD/kW);Wind offshore;4060;2760;1980;;;;
STEPS;United States;Capacity factor  (%);Nuclear;90;90;85;;;;
STEPS;United States;Capacity factor  (%);Coal;40;20;;;;;
STEPS;United States;Capacity factor  (%);Gas CCGT;55;40;15;;;;
STEPS;United States;Capacity factor  (%);Solar PV;20;22;23;;;;
STEPS;United States;Capacity factor  (%);Wind onshore;42;43;44;;;;
STEPS;United States;Capacity factor  (%);Wind offshore;41;46;49;;;;
STEPS;United States;Fuel, CO₂, O&M (USD/MWh);Nuclear;30;30;30;;;;
STEPS;United States;Fuel, CO₂, O&M (USD/MWh);Coal;35;35;35;;;;
STEPS;United States;Fuel, CO₂, O&M (USD/MWh);Gas CCGT;35;40;40;;;;
STEPS;United States;Fuel, CO₂, O&M (USD/MWh);Solar PV;10;10;10;;;;
STEPS;United States;Fuel, CO₂, O&M (USD/MWh);Wind onshore;10;10;10;;;;
STEPS;United States;Fuel, CO₂, O&M (USD/MWh);Wind offshore;35;25;15;;;;
STEPS;United States;LCOE (USD/MWh);Nuclear;110;110;110;;;;
STEPS;United States;LCOE (USD/MWh);Coal;105;165;n.a.;;;;
STEPS;United States;LCOE (USD/MWh);Gas CCGT;60;70;120;;;;
STEPS;United States;LCOE (USD/MWh);Solar PV;55;35;25;;;;
STEPS;United States;LCOE (USD/MWh);Wind onshore;40;35;35;;;;
STEPS;United States;LCOE (USD/MWh);Wind offshore;125;80;55;;;;
STEPS;European Union;Capital costs (USD/kW);Nuclear;6600;5100;4500;;;;
STEPS;European Union;Capital costs (USD/kW);Coal;2000;2000;2000;;;;
STEPS;European Union;Capital costs (USD/kW);Gas CCGT;1000;1000;1000;;;;
STEPS;European Union;Capital costs (USD/kW);Solar PV;750;480;340;;;;
STEPS;European Union;Capital costs (USD/kW);Wind onshore;1630;1550;780;;;;
STEPS;European Union;Capital costs (USD/kW);Wind offshore;3120;2280;1660;;;;
STEPS;European Union;Capacity factor  (%);Nuclear;70;75;75;;;;
STEPS;European Union;Capacity factor  (%);Coal;20;n.a.;n.a.;;;;
STEPS;European Union;Capacity factor  (%);Gas CCGT;20;10;n.a.;;;;
STEPS;European Union;Capacity factor  (%);Solar PV;14;14;14;;;;
STEPS;European Union;Capacity factor  (%);Wind onshore;29;30;30;;;;
STEPS;European Union;Capacity factor  (%);Wind offshore;50;55;56;;;;
